序号,提交答卷时间,所用时间,来源,来自IP,1、您的年龄：,2、性别：,3、月收入:,4、职业：,5、学历：,6、居住地：,7、您的籍贯是否为湖南地区：,8、您是否线下观看过浏阳烟花,9、您认为传承浏阳烟花重要性：,10、您对浏阳烟花是否感兴趣：,11、您对于浏阳烟花是否了解：,12、您更喜欢哪一类浏阳烟花产品,13、您更喜欢哪种浏阳烟花演出形式,14、您对浏阳烟花的满意程度—造型,14、色彩,14、节奏,14、配乐,14、创意,14、主题,14、观赏环境,14、燃放效果,14、欣赏难度,14、宣传工作,14、价格,14、安全隐患,14、环保指标,15、您主要是通过哪些途径接触和了解到浏阳烟花的？(线下节庆现场观赏),15、(电视烟花晚会/直播),15、(短视频),15、(亲友同事分享),15、(线下/电商购买烟花),15、(新闻媒体报道),15、(文旅宣传/景区推荐),15、(其他（请注明）),15、(从未了解过),16、您认为浏阳烟花与哪些形式结合更利于它的传承与发展(文旅融合（烟花观赏＋景区游览）),16、(节庆赛事（烟花晚会＋特色节庆）),16、(数字传播（短视频＋直播实景）),16、(非遗科普（研学体验+文化讲解）),16、(文创开发（烟花周边＋文创产品）),16、(科技赋能（智能烟花+特效研发）),16、(跨界合作（影视综艺+品牌联名）),16、(其他（自填）),17、请选择符合您实际情况的选项—欣赏浏阳烟花非遗展演是文化素养的体现,17、观看浏阳烟花创意秀会给您带来愉悦体验,17、了解浏阳烟花会让您收获传统文化认知,17、参与浏阳烟花活动能助力其非遗传承与产业发展,18、请选择符合您实际情况的选项—家中长辈参与浏阳烟花非遗活动，会带动您参与,18、亲朋好友推荐浏阳烟花活动，会促使您一同参与,18、媒体对浏阳烟花的宣传，会吸引您关注相关活动,18、明星/博主推广浏阳烟花，会提升您的参与兴趣,19、请选择符合您实际情的选项—您有时间参与浏阳烟花非遗相关活动,19、您能承担浏阳烟花展演门票、文创产品的费用,19、您具备欣赏浏阳烟花非遗艺术特色的审美能力,20、请根据您的实际情况，选择最符合您态度的选项：—您愿意了解浏阳烟花的相关知识,20、您愿意参与免费的浏阳烟花相关活动,20、您愿意参与付费的浏阳烟花相关活动,20、您愿意对浏阳烟花进行宣传,21、在过去一年中，您参与以下浏阳烟花相关活动的频率为—现场观看浏阳烟花节、主题烟花秀或大型烟花无人机表演,21、通过短视频、直播平台观看浏阳烟花相关内容,21、关注与浏阳烟花相关的官方账号、媒体报道或纪录片,21、参观浏阳烟花博物馆、非遗工坊或生产展示基地,21、参与浏阳烟花主题的文旅活动、研学项目或文化节,21、购买或收藏浏阳烟花主题文创产品或纪念品,22、您可以接受一年内在浏阳烟花相关文化活动或产品上的支出为：,23、本题请选D,所用时间_数值
492,2026/2/24 22:21:39,183秒,微信,222.184.217.218(江苏-南通),2,2,3,2,3,2,1,1,5,5,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,5,5,5,5,4,5,5,3,5,5,5,3,4,3,3,4,4,3,5,4,4,1,4,183
494,2026/2/24 22:22:13,162秒,微信,60.184.52.4(浙江-湖州),3,2,3,2,3,8,1,1,4,4,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,4,4,5,5,5,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,162
495,2026/2/24 22:22:23,129秒,微信,120.43.58.105(福建-宁德),3,2,3,2,5,4,1,2,3,2,4.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,3,3,3,3,4,4,4,5,5,5,4,3,3,3,3,3,3,4,3,4,1,3,4,129
496,2026/2/24 22:22:35,123秒,微信,119.99.80.203(湖北-黄冈),3,2,4,2,3,8,1,2,5,4,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,4,4,4,3,4,4,4,4,4,5,4,4,3,4,3,4,4,4,4,4,4,2,4,123
497,2026/2/24 22:23:05,145秒,微信,123.182.58.119(河北-张家口),3,2,4,2,3,3,2,1,4,4,4.0,5.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,4,4,4,2,4,5,4,3,5,5,5,5,5,5,5,4,4,4,5,4,5,3,4,145
498,2026/2/24 22:23:27,230秒,微信,180.107.62.143(江苏-苏州),4,2,1,2,4,8,1,2,5,3,5.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,3,3,4,4,4,4,2,5,5,5,5,2,4,5,3,3,3,3,2,3,2,4,230
500,2026/2/24 22:24:03,223秒,微信,202.105.64.178(广东-广州),3,1,2,4,4,9,1,2,3,4,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,2,3,1,1,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,4,223
501,2026/2/24 22:24:34,222秒,微信,49.71.142.138(江苏-泰州),3,2,3,2,4,9,1,2,3,3,3.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,3,3,4,3,5,4,4,5,3,3,3,5,5,4,5,4,4,4,3,4,4,1,4,222
502,2026/2/24 22:25:55,247秒,微信,49.71.161.93(江苏-泰州),2,1,1,3,5,7,1,1,3,2,3.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,4,4,4,5,3,3,2,5,4,5,5,5,4,5,5,4,5,1,4,247
503,2026/2/24 22:26:09,219秒,微信,222.217.149.37(广西-桂林),3,1,2,2,3,9,1,1,2,2,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,3,2,2,2,3,2,2,4,3,5,2,3,5,2,4,2,4,4,3,4,1,4,219
504,2026/2/24 22:26:40,123秒,微信,42.248.70.74(辽宁-鞍山),2,2,3,2,4,6,1,1,3,4,3.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,5,5,3,5,5,5,5,3,5,5,5,3,3,3,3,3,3,4,3,3,3,4,4,123
505,2026/2/24 22:27:13,180秒,微信,36.6.135.139(安徽-淮北),2,2,3,2,4,4,1,2,3,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,4,4,3,3,2,2,3,2,4,4,4,2,2,2,2,2,2,2,1,2,2,3,4,180
506,2026/2/24 22:27:42,187秒,微信,113.228.131.143(辽宁-抚顺),1,2,4,3,1,2,1,1,5,3,5.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,5,3,5,2,5,5,4,4,187
507,2026/2/24 22:28:04,170秒,微信,221.235.196.22(湖北-襄阳),1,2,1,2,1,8,1,1,4,3,4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,4,2,4,4,4,4,1,5,4,5,3,4,5,4,4,3,2,3,4,3,4,3,4,170
508,2026/2/24 22:28:17,228秒,微信,113.110.40.6(广东-揭阳),3,2,3,2,4,2,2,2,3,4,3.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,3,2,3,2,4,4,4,5,4,5,4,3,3,4,3,5,5,5,4,5,5,1,4,228
510,2026/2/24 22:29:10,177秒,微信,114.237.82.239(江苏-连云港),2,2,2,2,4,9,2,2,4,4,4.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4,4,4,4,5,5,5,5,5,4,5,5,3,4,4,1,1,1,1,1,1,4,4,177
511,2026/2/27 15:56:05,128秒,微信,113.236.141.101(辽宁-抚顺),3,2,3,2,4,9,1,2,2,2,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,4,4,4,4,4,4,3,3,4,4,4,3,4,3,5,4,5,4,4,5,4,4,4,128
512,2026/2/27 15:56:17,200秒,微信,60.184.83.71(浙江-丽水),3,2,1,3,4,3,1,2,3,3,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,2,2,2,2,3,3,2,3,3,3,3,2,2,1,2,2,2,3,1,2,2,2,4,200
513,2026/2/27 15:56:30,267秒,微信,117.90.91.27(江苏-镇江),2,1,2,2,4,2,1,1,4,5,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,2,4,5,5,4,4,267
514,2026/2/27 15:56:53,152秒,微信,180.119.93.254(江苏-扬州),2,1,3,3,4,4,1,1,4,4,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,5,5,5,5,4,5,4,4,4,4,4,3,3,2,3,4,4,4,3,4,4,4,4,152
515,2026/2/27 15:57:06,202秒,微信,116.208.197.209(湖北-随州),2,2,4,2,1,9,1,2,4,4,4.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,4,4,2,3,3,2,3,3,3,3,3,4,3,4,4,5,1,5,5,5,5,4,4,202
517,2026/2/27 15:57:31,214秒,微信,218.71.51.131(浙江-温州),2,1,2,2,4,2,1,1,5,5,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,3,3,5,5,5,4,4,4,4,4,4,4,5,3,3,4,3,4,1,2,4,214
518,2026/2/27 15:57:39,126秒,微信,180.107.77.159(江苏-苏州),3,2,3,3,3,2,1,2,4,4,5.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,126
519,2026/2/27 15:57:45,291秒,微信,117.86.185.30(江苏-南通),3,1,2,2,4,9,1,2,4,4,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,5,4,5,5,4,4,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,1,4,291
520,2026/2/27 15:57:58,152秒,微信,183.166.42.135(安徽-淮南),4,2,1,3,4,4,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,2,1,1,2,1,3,3,4,3,4,2,2,2,2,1,1,1,1,1,1,4,4,152
521,2026/2/27 15:58:07,185秒,微信,122.230.32.10(浙江-湖州),3,1,4,2,2,9,1,2,3,2,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,3,3,3,3,4,4,2,3,2,2,2,3,3,2,3,4,4,2,3,5,4,2,4,185
523,2026/2/27 15:58:32,143秒,微信,114.216.52.189(江苏-苏州),3,1,2,3,3,5,2,1,5,5,5.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,4,4,4,3,3,4,3,3,4,2,3,4,3,4,5,3,3,3,3,3,4,2,4,143
525,2026/2/27 15:58:58,160秒,微信,183.7.15.245(广东-汕头),2,1,3,4,1,9,1,2,5,4,5.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,3,5,5,5,5,4,4,5,5,5,5,4,4,5,4,4,5,4,4,4,1,4,160
526,2026/2/27 15:59:07,227秒,微信,117.60.250.82(江苏-淮安),2,2,1,4,4,5,1,1,4,4,3.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,5,4,4,4,4,4,3,1,3,4,5,5,5,3,2,3,3,4,4,4,4,227
528,2026/2/27 15:59:38,211秒,微信,119.132.46.195(广东-珠海),2,1,3,3,4,2,2,2,4,5,4.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4,4,5,4,2,1,2,2,3,4,4,3,3,2,2,5,4,3,5,5,4,2,4,211
530,2026/2/27 16:00:10,185秒,微信,119.99.94.114(湖北-黄冈),1,2,4,2,4,9,2,2,4,4,4.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,5,5,5,5,4,4,4,2,3,3,3,4,4,4,4,4,4,3,3,5,3,4,4,185
531,2026/2/27 16:00:21,257秒,微信,115.226.252.145(浙江-丽水),2,1,4,2,3,2,1,1,3,3,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,3,3,3,3,5,4,2,4,4,4,4,4,5,4,2,3,3,3,3,2,4,4,4,257
532,2026/2/27 16:00:47,222秒,微信,218.71.28.106(浙江-温州),2,1,2,2,2,1,1,2,2,2,4.0,2.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,3,3,2,4,4,4,4,3,4,3,3,3,3,1,3,3,3,3,3,3,2,4,222
533,2026/2/27 16:00:57,223秒,微信,122.239.178.180(浙江-温州),4,1,3,2,3,9,1,1,2,3,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,3,2,2,4,223
534,2026/2/27 16:01:06,211秒,微信,124.230.9.74(湖南-邵阳),3,1,2,2,2,8,2,2,4,4,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,4,3,4,4,4,2,4,4,5,4,4,4,4,4,4,4,3,4,5,4,4,1,4,211
535,2026/2/27 16:01:13,188秒,微信,202.110.6.70(辽宁-抚顺),2,1,1,2,4,3,1,2,4,5,4.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,5,5,2,5,4,4,4,5,5,4,3,5,5,5,5,5,4,5,3,5,5,3,4,188
536,2026/2/27 16:01:26,198秒,微信,60.184.250.100(浙江-丽水),3,1,3,2,3,7,1,2,4,4,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,3,1,4,198
537,2026/2/27 16:01:41,192秒,微信,114.224.145.53(江苏-无锡),3,1,4,2,2,9,2,1,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,2,2,2,3,4,4,4,2,2,2,4,2,2,1,2,2,1,1,4,192
538,2026/2/27 16:01:52,278秒,微信,123.182.210.52(河北-邯郸),3,2,3,2,3,9,1,2,2,2,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,1,2,1,1,1,1,1,4,278
539,2026/2/27 16:01:58,254秒,微信,140.250.149.54(山东-济南),2,2,2,3,1,7,1,1,5,5,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,4,4,3,5,3,2,4,3,4,4,3,4,4,3,4,5,4,5,4,4,5,2,4,254
540,2026/2/27 16:02:13,232秒,微信,115.211.233.65(浙江-金华),2,2,4,2,1,6,1,1,2,2,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,5,5,4,5,4,5,5,4,3,3,4,4,1,2,4,5,4,4,5,4,2,4,232
542,2026/2/27 16:02:36,277秒,微信,42.58.34.64(辽宁-抚顺),2,2,3,2,2,1,1,2,3,3,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,4,5,4,4,3,3,4,4,4,4,4,3,3,2,1,3,3,3,4,3,2,3,4,277
543,2026/2/27 16:02:43,186秒,微信,49.69.116.175(江苏-盐城),3,1,3,2,4,4,2,2,4,4,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,5,5,5,5,3,4,3,3,4,4,4,5,5,5,5,3,3,2,2,3,3,4,4,186
545,2026/2/27 16:03:07,143秒,微信,180.117.253.117(江苏-苏州),2,2,3,2,2,9,1,1,3,3,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,4,1,4,4,4,4,1,4,143
546,2026/2/27 16:03:14,210秒,微信,180.103.244.192(江苏-苏州),2,2,2,3,1,7,2,2,4,4,3.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5,5,2,5,1,1,1,1,4,3,4,4,4,4,4,5,5,5,4,5,5,4,4,210
547,2026/2/27 16:03:22,297秒,微信,27.29.164.254(湖北-襄阳),3,2,4,2,3,3,1,2,3,3,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,3,3,3,3,4,4,5,3,3,3,4,1,1,2,1,2,2,4,4,297
548,2026/2/27 16:03:32,201秒,微信,221.235.195.185(湖北-襄阳),2,2,2,2,5,2,2,1,4,4,3.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,5,5,5,4,4,4,3,4,5,4,4,5,4,5,5,4,4,4,3,5,4,4,4,201
549,2026/2/27 16:03:41,172秒,微信,183.142.251.40(浙江-湖州),3,1,2,2,2,7,1,1,4,4,4.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,2,1,2,4,3,4,4,4,5,4,3,4,3,3,4,4,3,4,5,4,4,4,172
550,2026/2/27 16:03:56,130秒,微信,42.179.217.1(辽宁-鞍山),2,2,3,2,2,5,1,2,4,4,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4,3,3,5,4,4,4,5,5,5,5,4,3,5,4,4,4,4,4,4,4,4,4,130
551,2026/2/27 16:04:19,267秒,微信,182.136.4.161(四川-绵阳),2,1,2,2,4,9,1,2,4,3,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,5,2,5,4,267
552,2026/2/27 16:04:32,236秒,微信,121.224.32.194(江苏-苏州),2,1,2,2,4,4,2,1,2,2,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,3,3,3,3,3,3,2,2,2,2,4,4,4,4,1,1,1,1,1,2,1,4,236
553,2026/2/27 16:04:40,202秒,微信,112.250.131.110(山东-日照),2,2,4,2,3,2,1,1,4,5,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,5,5,4,3,4,4,1,4,4,3,4,5,4,5,5,4,4,5,5,4,5,4,4,202
554,2026/2/27 16:04:50,186秒,微信,113.229.62.34(辽宁-葫芦岛),2,1,3,2,2,2,1,1,4,3,3.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,4,3,3,3,4,4,2,5,4,4,4,3,3,3,3,2,2,2,1,2,2,1,4,186
555,2026/2/27 16:05:05,159秒,微信,42.179.216.120(辽宁-鞍山),3,1,2,2,3,2,1,2,3,3,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,3,2,3,2,4,4,4,4,3,3,3,2,1,2,2,2,2,2,2,2,3,1,4,159
556,2026/2/27 16:05:14,187秒,微信,117.86.214.204(江苏-南通),3,1,2,2,4,2,1,2,3,3,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,4,4,4,4,3,2,3,3,3,3,3,2,2,2,2,1,2,4,4,187
557,2026/2/27 16:05:29,229秒,微信,60.184.54.180(浙江-湖州),2,1,2,2,1,9,1,1,2,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,2,5,5,5,5,2,2,2,3,3,2,3,5,4,2,5,5,5,1,4,229
558,2026/2/27 16:05:43,300秒,微信,183.165.245.45(安徽-池州),3,1,3,2,3,9,2,1,5,4,5.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3,2,4,3,4,5,4,4,3,2,2,4,5,4,3,4,4,4,3,4,5,1,4,300
559,2026/2/27 16:05:50,204秒,微信,114.216.52.221(江苏-苏州),2,2,3,1,4,9,1,1,5,4,5.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,4,4,4,5,3,3,3,3,5,5,4,4,4,5,4,4,4,4,4,2,5,3,4,204
560,2026/2/27 16:05:59,190秒,微信,110.90.46.41(福建-福州),2,2,4,2,3,2,2,1,4,4,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,5,5,4,5,3,4,3,3,5,3,5,4,4,4,4,5,4,5,5,4,5,1,4,190
561,2026/2/27 16:06:07,164秒,微信,27.156.198.189(福建-宁德),3,1,4,2,4,8,1,2,5,5,4.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,5,5,3,4,164
562,2026/2/27 16:06:15,174秒,微信,122.230.49.72(浙江-湖州),4,2,2,2,4,5,1,1,4,4,5.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,4,3,4,4,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,174
563,2026/2/27 16:06:24,271秒,微信,125.115.208.36(浙江-宁波),3,1,4,3,4,2,2,1,4,5,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,3,3,3,3,4,5,4,4,1,1,1,5,5,5,2,2,2,2,1,2,2,2,4,271
